"Namespace","Repo","Reference","Year","Month","Start Date","Unique IPs","Pull by tag","Pull by digest","Version check"
"osrf","ros_legacy","sha256:a74c5220396fd8d7674c24c81a26a461d393cc2be754a9deec8e18c8c4683678",2022,10,"2022-10-01",2,0,2,0
"osrf","lrauv","sha256:cd94121e587e5f94d9dff83b24afe0f2b551fbf4531429ee6ea069fc9f273220",2022,10,"2022-10-01",4,0,4,0
"osrf","ros2","sha256:4c45799b08ff40b6cf9384ec40a9d42aa27dbc45fe3e25110709f01dc45f41ee",2022,10,"2022-10-01",1,0,1,0
"osrf","mbzirc","sha256:97f4677bebe18adb36b1e151fc1a2f5d8017f68b89617b8977f3f75d260292f3",2022,10,"2022-10-01",1,0,1,0
"osrf","ros2_packaging_aarch64_jammy_39_snapshot","sha256:4127f734371cc1ee23027cd3fcbf087f8cce745b33f764419bd63641ced2cb3c",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","sha256:9f7b239b449d6d8203f749fd7f1a656165e4be220c2c461c6518ea6aa0d64a2c",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:3d3befefb86d590be47785afb176e68396db85b4327cba2f8bb5adca12417b3c",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","sha256:d19694281ad0c8dc39e3ea88d1a48e14deb34e03bacc96cb81ab40d793444305",2022,10,"2022-10-01",1,0,1,0
"osrf","mbzirc","mbzirc_models_latest",2022,10,"2022-10-01",1,1,0,0
"osrf","ros","humble-desktop",2022,10,"2022-10-01",1260,1642,0,1163
"osrf","ros","noetic-desktop-full-buster",2022,10,"2022-10-01",43,47,0,41
"osrf","ros","sha256:362fab4ddbebcfa4c50be0057d687f03f12e97d959d2930afd98ecd486d69dd8",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","noetic-desktop-buster",2022,10,"2022-10-01",32,31,0,64
"osrf","ros","sha256:a06562802dbaf8db525a63218bd1a75f1ac4dd43f82c9c7891678c307b2a2ecf",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","eloquent-desktop",2022,10,"2022-10-01",90,87,0,30
