,skip,arch,host,distro,release,pkg,file,path,count
88,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-graphics-dev_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-graphics-dev_5.7.1-1%7enoble_amd64.deb,2589
89,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-geospatial_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-geospatial_5.7.1-1%7enoble_amd64.deb,2592
90,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-geospatial-dev_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-geospatial-dev_5.7.1-1%7enoble_amd64.deb,2588
91,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-io_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-io_5.7.1-1%7enoble_amd64.deb,2586
92,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-io-dev_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-io-dev_5.7.1-1%7enoble_amd64.deb,2581
93,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-profiler_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-profiler_5.7.1-1%7enoble_amd64.deb,2583
94,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-profiler-dev_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-profiler-dev_5.7.1-1%7enoble_amd64.deb,2583
95,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-testing_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-testing_5.7.1-1%7enoble_amd64.deb,2581
96,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-testing-dev_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-testing-dev_5.7.1-1%7enoble_amd64.deb,2581
97,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-dev_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-dev_5.7.1-1%7enoble_amd64.deb,2582
